Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:28.866895, 6320, 277710, 0, 209376
2023-01-13_20:23:28.886807, 6340, 277887, 0, 209376
2023-01-13_20:23:28.906720, 6360, 278292, 0, 209376
2023-01-13_20:23:28.927358, 6380, 278758, 0, 209376
2023-01-13_20:23:28.947274, 6400, 279224, 0, 209376
2023-01-13_20:23:28.967185, 6420, 279598, 0, 209376
2023-01-13_20:23:28.987097, 6440, 279927, 0, 209376
2023-01-13_20:23:29.007210, 6460, 280220, 0, 209376
2023-01-13_20:23:29.027209, 6480, 280478, 0, 209376
2023-01-13_20:23:29.046648, 6500, 280702, 0, 209376
2023-01-13_20:23:29.066815, 6520, 280888, 0, 209376
2023-01-13_20:23:29.087144, 6540, 281032, 0, 209376
2023-01-13_20:23:29.107057, 6560, 281082, 0, 209376
2023-01-13_20:23:29.127303, 6580, 281362, 0, 209376
2023-01-13_20:23:29.146665, 6600, 281723, 0, 209376
2023-01-13_20:23:29.166579, 6620, 282332, 0, 209376
2023-01-13_20:23:29.186490, 6640, 282937, 0, 209376
2023-01-13_20:23:29.207400, 6660, 283422, 0, 209376
2023-01-13_20:23:29.227310, 6680, 283837, 0, 209376
2023-01-13_20:23:29.247224, 6700, 284204, 0, 209376
2023-01-13_20:23:29.267136, 6720, 284522, 0, 209376
2023-01-13_20:23:29.287052, 6740, 284792, 0, 209376
2023-01-13_20:23:29.306962, 6760, 285019, 0, 209376
2023-01-13_20:23:29.326874, 6780, 285212, 0, 209376
2023-01-13_20:23:29.346785, 6800, 285362, 0, 209376
2023-01-13_20:23:29.366742, 6820, 285573, 0, 209376
2023-01-13_20:23:29.387190, 6840, 286073, 0, 209376
2023-01-13_20:23:29.407156, 6860, 286803, 0, 209376
2023-01-13_20:23:29.427067, 6880, 287394, 0, 209376
2023-01-13_20:23:29.446810, 6900, 287890, 0, 209376
2023-01-13_20:23:29.466722, 6920, 288331, 0, 209376
2023-01-13_20:23:29.486691, 6940, 288722, 0, 209376
2023-01-13_20:23:29.507109, 6960, 289064, 0, 209376
2023-01-13_20:23:29.527274, 6980, 289356, 0, 209376
2023-01-13_20:23:29.547103, 7000, 289603, 0, 209376
2023-01-13_20:23:29.567031, 7020, 289807, 0, 209376
2023-01-13_20:23:29.586941, 7040, 289845, 0, 209376
2023-01-13_20:23:29.606854, 7060, 290003, 0, 209376
2023-01-13_20:23:29.626766, 7080, 290459, 0, 209376
2023-01-13_20:23:29.647404, 7100, 290963, 0, 209376
2023-01-13_20:23:29.667317, 7120, 291491, 0, 209376
2023-01-13_20:23:29.687284, 7140, 291934, 0, 209376
2023-01-13_20:23:29.707196, 7160, 292324, 0, 209376
2023-01-13_20:23:29.727158, 7180, 292669, 0, 209376
2023-01-13_20:23:29.747069, 7200, 292965, 0, 209376
2023-01-13_20:23:29.767637, 7220, 293215, 0, 209376
2023-01-13_20:23:29.786591, 7240, 293425, 0, 209376
2023-01-13_20:23:29.806543, 7260, 293605, 0, 209376
2023-01-13_20:23:29.827451, 7280, 293724, 0, 209376
2023-01-13_20:23:29.847059, 7300, 293730, 0, 209376
2023-01-13_20:23:29.866969, 7320, 294092, 0, 209376
2023-01-13_20:23:29.887115, 7340, 294562, 0, 209376
2023-01-13_20:23:29.907027, 7360, 295122, 0, 209376
2023-01-13_20:23:29.927045, 7380, 295770, 0, 209376
2023-01-13_20:23:29.946957, 7400, 296304, 0, 209376
2023-01-13_20:23:29.966935, 7420, 296773, 0, 209376
2023-01-13_20:23:29.986893, 7440, 297193, 0, 209376
2023-01-13_20:23:30.007419, 7460, 297567, 0, 209376
2023-01-13_20:23:30.027370, 7480, 297895, 0, 209376
2023-01-13_20:23:30.047285, 7500, 298170, 0, 209376
2023-01-13_20:23:30.067197, 7520, 298391, 0, 209376
2023-01-13_20:23:30.087186, 7540, 298537, 0, 209376
2023-01-13_20:23:30.107099, 7560, 298500, 0, 209376
2023-01-13_20:23:30.126782, 7580, 298794, 0, 209376
2023-01-13_20:23:30.146693, 7600, 299322, 0, 209376
2023-01-13_20:23:30.166605, 7620, 299749, 0, 209376
2023-01-13_20:23:30.187133, 7640, 300193, 0, 209376
2023-01-13_20:23:30.207048, 7660, 300571, 0, 209376
2023-01-13_20:23:30.227073, 7680, 300908, 0, 209376
2023-01-13_20:23:30.247778, 7700, 301214, 0, 209376
2023-01-13_20:23:30.268685, 7720, 301484, 0, 209376
2023-01-13_20:23:30.287041, 7740, 301714, 0, 209376
2023-01-13_20:23:30.306953, 7760, 301900, 0, 209376
2023-01-13_20:23:30.327068, 7780, 301978, 0, 209376
2023-01-13_20:23:30.346980, 7800, 302111, 0, 209376
2023-01-13_20:23:30.367286, 7820, 302456, 0, 209376
2023-01-13_20:23:30.386554, 7840, 302779, 0, 209376
2023-01-13_20:23:30.406844, 7860, 303133, 0, 209376
2023-01-13_20:23:30.426755, 7880, 303585, 0, 209376
2023-01-13_20:23:30.447733, 7900, 303980, 0, 209376
2023-01-13_20:23:30.466994, 7920, 304317, 0, 209376
2023-01-13_20:23:30.486958, 7940, 304606, 0, 209376
2023-01-13_20:23:30.506541, 7960, 304855, 0, 209376
2023-01-13_20:23:30.526547, 7980, 305066, 0, 209376
2023-01-13_20:23:30.547050, 8000, 305241, 0, 209376
2023-01-13_20:23:30.566832, 8020, 305345, 0, 209376
2023-01-13_20:23:30.586744, 8040, 305436, 0, 209376
2023-01-13_20:23:30.606659, 8060, 305735, 0, 209376
2023-01-13_20:23:30.626602, 8080, 306110, 0, 209376
2023-01-13_20:23:30.647284, 8100, 306583, 0, 209376
2023-01-13_20:23:30.667240, 8120, 307174, 0, 209376
2023-01-13_20:23:30.687202, 8140, 307593, 0, 209376
2023-01-13_20:23:30.706764, 8160, 307943, 0, 209376
2023-01-13_20:23:30.726720, 8180, 308238, 0, 209376
2023-01-13_20:23:30.746662, 8200, 308484, 0, 209376
